numARows x numAColumns x numBColumns, cpu_exec (s), host_to_device (s), gpu_exec (s), device_to_host (s), differece
128 x 128 x 128, 0.025504,0.199215,0.000148,0.000131,0.000000
511 x 1023 x 4094, 34.916433,0.103030,0.047667,0.010643,0.000000
1022 x 1023 x 4094, 71.541727,0.105686,0.094591,0.021533,0.000000
511 x 2046 x 4094, 95.190664,0.138243,0.095322,0.012944,0.000000
511 x 1023 x 8188, 56.648849,0.135761,0.094543,0.024077,0.000000
1022 x 2046 x 8188, 324.571084,0.128108,0.291302,0.042626,0.000000
